"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
1,1,NA,NA,NA,NA,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,1,NA,NA,3,NA,NA,3,NA,3,NA,4,4,4,4,4,4
1,1,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,NA,NA,3,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4
1,1,1,NA,NA,3,NA,3,NA,NA,4,4,4,4,4,4,4,4
1,1,1,NA,3,NA,NA,3,NA,3,NA,3,NA,4,4,4,4,4
1,1,NA,NA,3,NA,4,4,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,NA,3,NA,3,NA,4,4,4,4,4
1,1,NA,3,NA,NA,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,1,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,3,NA,NA,NA,NA,4,4,4,4,4
1,1,NA,3,NA,NA,3,NA,4,4,4,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,3,NA,NA,4,4,4,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4,4,4
1,1,1,1,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,1,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,4,4,4,4,4,4,4,4,4,4
1,1,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,NA,NA,3,3,3,3,3,NA,4,4,4,4,4,4
1,1,NA,NA,NA,NA,NA,NA,NA,3,NA,4,4,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,NA,4,4,4,4,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,NA,4,4,4,4,4,4,4,4,4
1,1,NA,3,NA,NA,3,NA,4,4,4,4,4,4,4,4,4,4
1,1,NA,3,NA,NA,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,NA,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,3,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4
1,1,1,1,NA,NA,3,3,NA,3,NA,4,4,4,4,4,4,4
1,NA,3,3,NA,3,NA,NA,4,4,4,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,NA,NA,4,4,4,4,4,4,4,4,4
1,NA,3,NA,NA,3,NA,3,NA,3,NA,NA,4,4,4,4,4,4
1,NA,3,NA,NA,3,NA,NA,4,4,4,4,4,4,4,4,4,4
1,NA,3,NA,NA,3,NA,4,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,4,4,4,4,4
1,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,4,4,4
1,1,NA,3,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4
1,1,NA,NA,NA,NA,NA,3,NA,4,4,4,4,4,4,4,4,4
1,1,NA,NA,3,NA,3,NA,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,NA,NA,NA,NA,NA,3,NA,3,NA,4,4,4,4,4
1,1,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,NA,NA,NA,3,NA,NA,NA,3,NA,3,NA,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,NA,3,NA,3,NA,4,4,4,4,4
1,1,1,1,NA,3,NA,3,NA,3,3,NA,3,NA,4,4,4,4
1,1,1,NA,NA,3,NA,3,3,3,3,NA,4,4,4,4,4,4
1,1,NA,NA,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,NA,NA,NA,3,NA,NA,NA,NA,NA,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,4,4,4,4,4,4,4,4,4,4,4
1,1,NA,NA,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,1,1,NA,3,NA,4,4,4,4,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,4,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,NA,3,NA,4,4,4,4,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,4,4,4,4,4,4,4,4,4,4,4
1,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,4,4,4
1,1,NA,3,NA,NA,NA,NA,3,NA,3,NA,4,4,4,4,4,4
1,1,1,NA,NA,NA,3,NA,3,NA,4,4,4,4,4,4,4,4
1,1,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4
1,1,NA,3,NA,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4
1,1,1,NA,NA,NA,NA,3,NA,4,4,4,4,4,4,4,4,4
1,1,1,NA,NA,3,NA,NA,NA,3,NA,4,4,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4,4,4
1,1,1,NA,NA,NA,3,NA,3,3,3,NA,NA,3,NA,4,4,4
1,1,NA,3,NA,NA,3,NA,3,NA,4,4,4,4,4,4,4,4
1,1,1,NA,NA,NA,NA,NA,NA,3,NA,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,NA,NA,3,NA,3,NA,4,4,4,4,4
1,1,NA,3,NA,3,NA,4,4,4,4,4,4,4,4,4,4,4
1,1,NA,3,NA,NA,NA,NA,3,NA,4,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,3,3,3,NA,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,NA,NA,4,4,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,4,4,4,4,4,4,4,4,4,4,4
1,1,NA,NA,NA,3,NA,4,4,4,4,4,4,4,4,4,4,4
1,1,1,1,NA,NA,3,NA,NA,4,4,4,4,4,4,4,4,4
1,1,1,1,1,1,NA,3,NA,3,3,NA,4,4,4,4,4,4
1,1,NA,3,NA,NA,3,NA,NA,3,NA,NA,3,NA,4,4,4,4
1,1,1,NA,3,NA,3,NA,NA,4,4,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,3,3,3,NA,4,4,4,4,4,4,4
1,1,NA,3,3,3,3,NA,NA,3,NA,3,NA,NA,NA,4,4,4
1,1,1,NA,NA,NA,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,NA,NA,3,NA,3,NA,3,NA,3,NA,3,NA,4,4,4,4
1,1,NA,3,NA,3,NA,3,NA,3,NA,NA,3,NA,4,4,4,4
1,1,NA,3,NA,NA,3,NA,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,3,NA,NA,NA,4,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,NA,3,NA,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,4,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,NA,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,NA,4,4,4,4,4,4,4,4,4,4
1,1,1,1,1,1,1,1,1,1,1,1,NA,4,4,4,4,4
1,1,NA,NA,3,NA,3,NA,3,3,NA,4,4,4,4,4,4,4
1,1,1,1,1,1,1,NA,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,3,NA,NA,3,NA,NA,3,NA,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,3,NA,3,NA,NA,4,4,4,4,4,4
1,1,NA,3,NA,NA,3,NA,3,NA,NA,NA,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,3,NA,3,NA,NA,4,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,3,NA,3,NA,NA,4,4,4,4,4
1,1,NA,NA,NA,NA,NA,NA,3,NA,4,4,4,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,4,4,4,4
1,1,NA,3,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,NA,3,NA,NA,NA,3,NA,4,4,4,4
1,1,NA,NA,3,NA,NA,3,NA,3,NA,3,NA,NA,4,4,4,4
1,1,NA,3,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,NA,NA,NA,3,NA,3,NA,4,4,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,NA,3,NA,4,4,4,4,4,4,4,4
1,1,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,4,4,4
1,1,1,1,1,NA,3,NA,NA,NA,NA,NA,3,NA,4,4,4,4
1,1,1,NA,3,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4
1,1,1,1,NA,NA,NA,NA,3,NA,NA,4,4,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,NA,3,NA,NA,NA,3,NA,4,4,4,4,4,4,4
1,1,1,NA,NA,3,NA,NA,NA,NA,3,NA,NA,4,4,4,4,4
1,1,1,NA,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,3,3,3,NA,NA,NA,NA,4,4,4
1,1,1,NA,NA,NA,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,1,NA,NA,NA,3,NA,NA,3,NA,4,4,4,4,4,4,4
1,1,1,NA,NA,3,NA,NA,3,NA,NA,NA,4,4,4,4,4,4
1,1,1,1,NA,NA,NA,NA,NA,3,NA,4,4,4,4,4,4,4
1,1,1,NA,3,NA,NA,3,NA,3,NA,3,NA,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,NA,NA,3,NA,NA,3,NA,NA,3,NA,4,4,4,4
1,1,1,1,1,NA,3,NA,3,NA,3,NA,3,NA,4,4,4,4
1,1,1,1,NA,NA,3,NA,NA,3,NA,4,4,4,4,4,4,4
1,1,1,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,3,NA,NA,3,NA,4,4,4,4,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,3,NA,3,NA,NA,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,4,4,4,4
1,1,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,3,NA,NA,3,NA,4,4,4,4,4,4,4,4,4
1,1,1,1,1,NA,3,NA,NA,3,NA,NA,NA,NA,4,4,4,4
1,1,1,NA,3,NA,3,NA,3,3,3,NA,4,4,4,4,4,4
1,1,1,1,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4
1,1,1,1,1,NA,3,NA,NA,NA,NA,3,NA,4,4,4,4,4
1,1,1,1,NA,NA,3,NA,NA,3,NA,4,4,4,4,4,4,4
1,1,1,1,NA,NA,NA,3,NA,3,3,NA,3,NA,3,NA,4,4
1,1,1,1,NA,3,NA,NA,NA,3,NA,NA,3,NA,4,4,4,4
1,1,1,1,NA,NA,3,NA,3,NA,4,4,4,4,4,4,4,4
1,1,1,1,NA,NA,NA,3,NA,3,NA,NA,NA,4,4,4,4,4
1,1,1,1,NA,3,NA,3,3,3,3,NA,4,4,4,4,4,4
1,1,1,1,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,1,1,1,NA,NA,NA,NA,NA,3,NA,4,4,4,4,4,4
1,1,1,1,NA,3,NA,3,NA,3,NA,NA,3,NA,4,4,4,4
1,1,1,1,1,NA,3,NA,NA,3,NA,NA,NA,4,4,4,4,4
1,1,1,1,NA,3,NA,NA,NA,NA,3,NA,4,4,4,4,4,4
1,1,1,1,NA,3,NA,3,NA,NA,3,NA,3,NA,4,4,4,4
1,1,1,1,NA,3,NA,NA,3,NA,4,4,4,4,4,4,4,4
1,1,1,1,1,NA,NA,NA,4,4,4,4,4,4,4,4,4,4
1,1,1,1,NA,3,NA,3,NA,4,4,4,4,4,4,4,4,4
1,1,1,1,NA,3,NA,3,NA,3,3,NA,3,NA,4,4,4,4
1,1,1,1,1,1,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,1,1,1,NA,3,NA,NA,3,3,NA,4,4,4,4,4,4
1,1,1,1,1,1,NA,3,NA,4,4,4,4,4,4,4,4,4
1,1,1,1,1,1,NA,4,4,4,4,4,4,4,4,4,4,4
1,1,1,1,1,1,NA,3,3,NA,3,NA,4,4,4,4,4,4
1,1,1,1,1,1,NA,3,NA,3,NA,3,NA,4,4,4,4,4
1,1,1,1,1,1,1,1,1,1,1,NA,4,4,4,4,4,4
1,1,1,1,1,1,1,NA,3,3,NA,NA,4,4,4,4,4,4
1,1,1,1,1,1,1,NA,3,3,3,NA,3,NA,NA,3,NA,4
1,1,1,1,1,1,1,1,NA,3,NA,3,3,NA,4,4,4,4
1,1,1,1,1,1,1,NA,NA,3,NA,4,4,4,4,4,4,4
1,1,1,1,1,1,1,NA,3,NA,3,NA,NA,NA,NA,4,4,4
1,1,1,1,1,1,1,NA,NA,3,NA,3,NA,4,4,4,4,4
1,1,1,1,1,1,1,NA,4,4,4,4,4,4,4,4,4,4
1,1,1,1,1,1,1,1,NA,4,4,4,4,4,4,4,4,4
1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,4,4,4
1,1,1,1,1,1,1,1,1,NA,NA,NA,3,NA,4,4,4,4
1,1,1,1,1,1,1,1,1,NA,3,NA,4,4,4,4,4,4
1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,4,4,4,4
1,1,1,1,1,1,1,1,1,1,NA,3,NA,4,4,4,4,4
1,1,1,1,1,1,1,1,1,1,1,NA,3,NA,NA,3,3,NA
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,4
1,1,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,4,4,4,4
1,1,NA,3,NA,3,NA,NA,NA,NA,3,NA,4,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,NA,4,4,4,4,4,4,4,4,4
1,1,NA,NA,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,1,1,1,NA,4,4,4,4,4,4,4,4,4,4,4,4
1,NA,3,NA,3,3,3,NA,3,NA,4,4,4,4,4,4,4,4
1,1,NA,3,NA,NA,3,NA,4,4,4,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,3,NA,NA,4,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,3,3,3,NA,4,4,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,3,NA,NA,4,4,4,4,4,4,4
1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,NA,4,4,4,4,4
1,1,1,NA,NA,3,NA,4,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,NA,3,NA,NA,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,NA,NA,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,NA,3,NA,NA,NA,4,4,4,4,4
1,1,1,1,NA,NA,3,NA,4,4,4,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,3,NA,3,NA,NA,4,4,4,4,4,4
1,1,1,1,NA,3,NA,3,NA,3,NA,3,NA,4,4,4,4,4
1,1,1,NA,3,NA,4,4,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,NA,3,NA,3,NA,NA,4,4,4,4,4,4,4,4
1,1,1,NA,3,NA,NA,NA,NA,3,NA,4,4,4,4,4,4,4
1,1,1,1,NA,4,4,4,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,NA,NA,NA,NA,NA,3,NA,3,NA,4,4,4,4,4
1,1,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4,4,4,4
1,1,1,1,1,NA,4,4,4,4,4,4,4,4,4,4,4,4
1,1,1,NA,3,NA,NA,NA,3,NA,4,4,4,4,4,4,4,4
1,1,NA,3,NA,NA,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,NA,NA,NA,NA,NA,NA,3,NA,4,4,4,4,4,4,4,4
1,1,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4
1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,4,4,4,4
1,NA,3,NA,NA,NA,NA,NA,3,NA,4,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,4,4,4,4,4,4,4,4,4,4,4
1,1,NA,NA,3,NA,NA,NA,4,4,4,4,4,4,4,4,4,4
1,1,1,1,1,1,1,NA,4,4,4,4,4,4,4,4,4,4
1,1,1,1,1,1,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,1,1,1,NA,4,4,4,4,4,4,4,4,4,4,4,4
1,1,1,1,1,1,1,NA,NA,4,4,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4,4
1,1,1,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4
1,1,NA,NA,3,NA,3,NA,NA,3,NA,3,NA,4,4,4,4,4
1,1,1,1,NA,NA,3,NA,3,NA,3,NA,3,NA,NA,4,4,4
1,1,NA,3,NA,NA,NA,3,NA,4,4,4,4,4,4,4,4,4
1,1,1,NA,3,NA,3,NA,3,NA,4,4,4,4,4,4,4,4
1,1,NA,3,NA,3,NA,NA,NA,4,4,4,4,4,4,4,4,4
1,1,1,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4
1,1,NA,3,NA,4,4,4,4,4,4,4,4,4,4,4,4,4
1,NA,3,NA,3,NA,3,NA,NA,3,NA,3,NA,4,4,4,4,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
